timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_speed@km/h,enhanced_altitude@m,heart_rate@bpm,cadence@rpm,temperature@C,fractional_cadence@rpm
2020-10-14T05:21:03+00:00,-37.821124736219645,144.94350772351027,0.0,17.2332,4.600000000000023,92,93.0,28,0.0
2020-10-14T05:21:04+00:00,-37.82116999849677,144.94354435242712,0.00552,19.886400000000002,4.399999999999977,93,78.0,28,0.0
2020-10-14T05:21:06+00:00,-37.82125188969076,144.94359497912228,0.01657,19.886400000000002,4.399999999999977,95,78.0,28,0.0
2020-10-14T05:21:07+00:00,-37.82127058133483,144.94361903518438,0.02125,16.83,4.399999999999977,96,0.0,28,0.0
2020-10-14T05:21:08+00:00,-37.821280639618635,144.94365164078772,0.025920000000000002,16.83,4.399999999999977,96,0.0,28,0.0
2020-10-14T05:21:10+00:00,-37.82129170373082,144.943729005754,0.03618,20.088,4.399999999999977,96,92.0,28,0.0
2020-10-14T05:21:11+00:00,-37.8212927095592,144.94376488029957,0.04275,23.6808,4.399999999999977,96,87.0,28,0.0
2020-10-14T05:21:15+00:00,-37.821288015693426,144.9439611006528,0.07089,25.9668,4.399999999999977,93,75.0,28,0.0
2020-10-14T05:21:17+00:00,-37.82130586914718,144.94409755803645,0.08541,26.1324,4.0,92,74.0,28,0.0
2020-10-14T05:21:18+00:00,-37.82132154330611,144.94415430352092,0.09267,26.1324,4.0,91,76.0,28,0.0
2020-10-14T05:21:20+00:00,-37.821338726207614,144.94429604150355,0.10696,25.6284,5.0,91,74.0,28,0.0
2020-10-14T05:21:21+00:00,-37.821330931037664,144.94432277977467,0.11398,25.2936,5.800000000000011,91,74.0,28,0.0
2020-10-14T05:21:22+00:00,-37.821321627125144,144.9443413875997,0.12092,24.9588,6.600000000000023,90,72.0,28,0.0
2020-10-14T05:21:23+00:00,-37.82131056301296,144.9443545471877,0.12784,24.8904,7.199999999999989,90,69.0,28,0.0
2020-10-14T05:21:25+00:00,-37.82129488885403,144.9443775974214,0.1416,24.6564,7.800000000000011,90,73.0,28,0.0
2020-10-14T05:21:26+00:00,-37.82131207175553,144.9443966243416,0.1484,24.487199999999998,6.800000000000011,89,72.0,28,0.0
2020-10-14T05:21:27+00:00,-37.82131223939359,144.94441632181406,0.15519999999999998,24.487199999999998,5.800000000000011,89,73.0,28,0.0
2020-10-14T05:21:28+00:00,-37.821308467537165,144.9444304034114,0.16201,24.487199999999998,5.0,89,73.0,28,0.0
2020-10-14T05:21:29+00:00,-37.82130243256688,144.9444459937513,0.16904,25.2936,4.399999999999977,89,73.0,28,0.0
2020-10-14T05:21:30+00:00,-37.821303103119135,144.94447893463075,0.17608000000000001,25.362000000000002,6.199999999999989,89,76.0,28,0.0
2020-10-14T05:21:31+00:00,-37.82129832543433,144.94453073479235,0.18341,26.4024,6.600000000000023,89,78.0,28,0.0
2020-10-14T05:21:32+00:00,-37.8213067073375,144.944690996781,0.19079,26.5896,7.199999999999989,88,78.0,28,0.0
2020-10-14T05:21:33+00:00,-37.821316262707114,144.94485050439835,0.19834000000000002,27.1476,6.800000000000011,88,81.0,28,0.0
2020-10-14T05:21:36+00:00,-37.821313412860036,144.94509978219867,0.22097999999999998,27.1476,7.0,88,69.0,28,0.0
2020-10-14T05:21:38+00:00,-37.8213326074183,144.94528309442103,0.23612,27.2268,7.199999999999989,89,70.0,28,0.0
2020-10-14T05:21:40+00:00,-37.82129933126271,144.9454762134701,0.25124,27.2268,7.0,92,67.0,28,0.0
2020-10-14T05:21:43+00:00,-37.82127317972481,144.94576362892985,0.27354,26.0352,7.399999999999977,96,63.0,28,0.0
2020-10-14T05:21:45+00:00,-37.82130494713783,144.9459582567215,0.28698,22.6764,7.600000000000023,100,63.0,27,0.0
2020-10-14T05:21:46+00:00,-37.82131550833583,144.94602640159428,0.29243,19.62,7.800000000000011,101,0.0,27,0.0
2020-10-14T05:21:48+00:00,-37.82133017666638,144.94612597860396,0.30007999999999996,11.361600000000001,8.199999999999989,104,0.0,27,0.0
2020-10-14T05:21:49+00:00,-37.821334367617965,144.94615372270346,0.30324,11.361600000000001,8.399999999999977,105,0.0,27,0.0
2020-10-14T05:21:50+00:00,-37.82133939675987,144.9461760185659,0.30542,7.8372,8.399999999999977,106,0.0,27,0.0
2020-10-14T05:22:22+00:00,-37.821374014019966,144.94649461470544,0.30542,16.729200000000002,8.199999999999989,103,89.0,27,0.0
2020-10-14T05:22:23+00:00,-37.821365715935826,144.94658312760293,0.312,23.6808,8.199999999999989,103,98.0,27,0.0
2020-10-14T05:22:29+00:00,-37.821218110620975,144.94706994853914,0.35679,27.4104,8.0,104,73.0,27,0.0
2020-10-14T05:22:32+00:00,-37.821166813373566,144.9472643248737,0.37765,22.5396,8.199999999999989,104,0.0,27,0.0
2020-10-14T05:22:33+00:00,-37.82117486000061,144.9473087489605,0.38337,20.592,8.199999999999989,103,0.0,27,0.0
2020-10-14T05:22:34+00:00,-37.821201933547854,144.94733900763094,0.38836000000000004,17.9712,8.199999999999989,103,9.0,27,0.0
2020-10-14T05:22:36+00:00,-37.82129371538758,144.94737253524363,0.39833999999999997,17.9712,8.199999999999989,102,0.0,27,0.0
2020-10-14T05:22:38+00:00,-37.82140787690878,144.94739742949605,0.4099,21.1968,8.600000000000023,102,0.0,27,0.0
2020-10-14T05:22:42+00:00,-37.821632511913776,144.94745417498052,0.43407999999999997,22.1688,8.600000000000023,102,67.0,27,0.0
2020-10-14T05:22:43+00:00,-37.82168162986636,144.947465993464,0.44043,22.8744,8.600000000000023,101,71.0,27,0.0
